id,name,parent_id
287,Australia,158
286,Austria,158
285,Belgium,158
284,Brazil,158
283,Canada,158
282,China,158
281,Denmark,158
280,Euro,158
279,Finland,158
278,France,158
277,Germany,158
274,Greece,158
273,Hong Kong,158
272,India,158
271,Ireland,158
276,Italy,158
275,Japan,158
270,Malaysia,158
269,Mexico,158
268,Netherlands,158
266,New Zealand,158
265,Norway,158
264,Portugal,158
263,Singapore,158
262,South Africa,158
261,South Korea,158
260,Spain,158
259,Sri Lanka,158
258,Sweden,158
257,Switzerland,158
267,Taiwan,158
254,Thailand,158
191,United Kingdom,158
192,Venezuela,158
32413,BofA Merrill Lynch Total Bond Return Index Values,32414
33078,All Commercial Banks,100
33079,Domestically Chartered Commercial Banks,100
33080,Foreign-Related Institutions,100
33081,Large Domestically Chartered Commercial Banks,100
33082,Small Domestically Chartered Commercial Banks,100
93,United States,83
84,New England Census Division,83
85,Middle Atlantic Census Division,83
86,East North Central Census Division,83
87,West North Central Census Division,83
88,South Atlantic Census Division,83
89,East South Central Census Division,83
90,West South Central Census Division,83
91,Mountain Census Division,83
92,Pacific Census Division,83
72,8th District,64
65,Arkansas,64
66,Illinois,64
67,Indiana,64
68,Kentucky,64
69,Mississippi,64
70,Missouri,64
71,Tennessee,64
32407,All Commercial Banks,32406
32408,Domestic Banks,32406
32409,Foreign Banks,32406
32410,Large Domestic Banks,32406
32411,Small Domestic Banks,32406
32412,Summary Statistics,32406
32362,All Commercial and Industrial Loans,32361
32369,Base Rate of Loans,32361
32364,Daily Repricing/Maturity Interval,32361
32367,More Than 365 Days Repricing/Maturity Interval,32361
32368,Size of Loans,32361
32366,31 to 365 Days Repricing/Maturity Interval,32361
32365,2 to 30 Days Repricing/Maturity Interval,32361
32363,Zero Repricing/Maturity Interval,32361
32371,All Commercial and Industrial Loans,32370
32375,Base Rate of Loans,32370
32372,Daily Repricing/Maturity Interval,32370
32373,More Than 365 Days Repricing/Maturity Interval,32370
32374,Size of Loans,32370
32376,31 to 365 Days Repricing/Maturity Interval,32370
32377,2 to 30 Days Repricing/Maturity Interval,32370
32378,Zero Repricing/Maturity Interval,32370
32380,All Commercial and Industrial Loans,32379
32381,Base Rate of Loans,32379
32382,Daily Repricing/Maturity Interval,32379
32383,More Than 365 Days Repricing/Maturity Interval,32379
32384,Size of Loans,32379
