id,name,parent_id
34009,AMERIBOR Benchmark Rates,22
33058,Automobile Loan Rates,22
51,Bankers Acceptance Rate,22
121,Certificates of Deposit,22
120,Commercial Paper,22
32348,Corporate Bonds,22
33059,Credit Card Loan Rates,22
34005,EONIA Rates,22
34007,Euro Short-Term Rate,22
32298,Eurodollar Deposits,22
118,"FRB Rates - discount, fed funds, primary credit",22
33056,Interest Checking Accounts,22
33446,Interest Rate Spreads,22
32299,Interest Rate Swaps,22
32995,Long-Term Securities,22
33055,Money Market Accounts,22
114,Mortgage Rates,22
33057,Personal Loan Rates,22
117,Prime Bank Loan Rate,22
33491,Saving Accounts,22
34003,SONIA Rates,22
116,Treasury Bills,22
115,Treasury Constant Maturity,22
82,Treasury Inflation-Indexed Securities,22
94,Daily Rates,15
95,Monthly Rates,15
32219,Annual Rates,15
105,Trade-Weighted Indexes,15
158,By Country,15
124,Monetary Base,24
123,Reserves,24
25,M1 and Components,24
29,M2 and Components,24
96,M2 Minus Small Time Deposits,24
28,M3 and Components,24
30,MZM,24
26,Memorandum Items,24
32242,Money Velocity,24
122,Borrowings,24
32215,Factors Affecting Reserve Balances,24
32218,"Securities, Loans, & Other Assets & Liabilities Held by Fed",24
32414,Bond Market Indexes,46
33119,Consumer Financial Condition Indexes,46
32457,Financial Activity Measures,46
32255,Stock Market Indexes,46
32425,Volatility Indexes,46
34078,Banking Indexes,23
100,Commercial Banking,23
83,Condition of Banks,23
101,Consumer Credit,23
32440,Delinquencies and Delinquency Rates,23
33121,Failures and Assistance Transactions,23
64,8th District Banking Performance,23
33445,Mortgage Debt Outstanding,23
32439,Net Charge-Offs and Charge-Off Rates,23
99,Securities & Investments,23
34111,Senior Credit Officer Opinion Survey,23
32239,Senior Loan Officer Survey,23
32996,Commercial Paper,32360
32406,Commercial and Industrial Loans by Time that Pricing Terms Were Set and by Commitment,32360
33439,Commercial and Industrial Loans Backed by Small Business Association,32360
32361,Commercial and Industrial Loans Made by All Commercial Banks,32360
32370,Commercial and Industrial Loans Made by Domestic Banks,32360
32379,Commercial and Industrial Loans Made by Large Domestic Banks,32360
32388,Commercial and Industrial Loans Made by Small Domestic Banks,32360
32397,Commercial and Industrial Loans Made by U.S. Branches and Agencies of Foreign Banks,32360
33440,Commercial and Industrial Loans Made Under Participation or Syndication,32360
32442,Civilian Labor Force,12
32443,Civilian Labor Force Participation Rate,12
32444,Employment,12
32445,Employment Population Ratio,12
32446,Unemployment Level,12
32447,Unemployment Rate,12
32448,Not in Labor Force,12
32449,Labor Force Participation Rate,12
32450,Multiple Jobholders,12
32451,Duration of Unemployment,12
32452,Losers and Leavers,12
33501,Earnings,12
32453,Entrants and Reentrants,12
33502,Labor Force Status Flows,12
32305,Total Nonfarm,11
32306,Total Private,11
32307,Goods-Producing,11
32326,Service-Providing,11
32308,Private Service-Providing,11
32309,Mining and Logging,11
32310,Construction,11
32311,Manufacturing,11
32312,Durable Goods,11
32313,Nondurable Goods,11
32314,"Trade, Transportation, and Utilities",11
32315,Wholesale Trade,11
32316,Retail Trade,11
32317,Transportation and Warehousing,11
32318,Utilities,11
32319,Information,11
32320,Financial Activities,11
32321,Professional and Business Services,11
32322,Education and Health Services,11
32323,Leisure and Hospitality,11
32324,Other Services,11
32325,Government,11
32243,Job Openings (Levels and Rates),32241
32245,Hires (Levels and Rates),32241
32246,Total Separations (Levels and Rates),32241
32247,Quits (Levels and Rates),32241
32248,Layoffs and Discharges (Levels and Rates),32241
32249,Other Separations (Levels and Rates),32241
33735,Poverty Measures,104
33514,Supplemental Nutrition Assistance Program,104
33961,"Agriculture, Forestry, Fishing and Hunting",2
33963,Mining,2
33965,Utilities,2
33967,Construction,2
32349,Manufacturing,2
33969,Wholesale Trade,2
33972,Retail Trade,2
33974,Transportation and Warehousing,2
33976,Information,2
33978,Finance and Insurance,2
33980,Real Estate and Rental and Leasing,2
33982,"Professional, Scientific, and Technical Services",2
33984,Management of Companies and Enterprises,2
33986,Administrative and Support and Waste Management and Remediation Services,2
33988,Educational Services,2
33990,Health Care and Social Assistance,2
33992,"Arts, Entertainment, and Recreation",2
33994,Accommodation and Food Services,2
33996,Other Services (except Public Administration),2
33998,Government,2
32350,Business,2
32351,Nonfarm Business,2
32354,Nonfinancial Corporations,2
112,Domestic Capital Account (Saving & Investment),18
108,Foreign Transactions,18
33697,Fixed Assets,18
33122,Gross Domestic Income,18
106,GDP/GNP,18
107,"Gov't Receipts, Expenditures & Investment",18
33719,Health Care Spending,18
33054,Imputations,18
33045,Industry,18
110,Personal Income & Outlays,18
21,Price Indexes & Deflators,18
109,Private Enterprise Income,18
33021,Quantity Indexes,18
33401,Effect of ARRA on Selected NIPA Estimates,18
32258,B.101 Balance Sheet of Households and Nonprofit Organizations,32251
32259,B.103 Balance Sheet of Nonfinancial Corporate Business,32251
32260,B.104 Balance Sheet of Nonfinancial Noncorporate Business,32251
32256,D.3 Credit Market Debt Outstanding by Sector,32251
32257,L.1 Credit Market Debt Outstanding,32251
33722,L.203 Net Interbank Transactions,32251
33726,L.208 Debt Securities,32251
33729,L.214 Loans,32251
33204,S.1 Total Economy - Current Account,32251
33205,S.2 Selected Aggregates for Total Economy and Sectors,32251
33240,S.3 Households and Nonprofit Institutions Serving Households,32251
33241,S.4 Nonfinancial Noncorporate Business,32251
33242,S.5 Nonfinancial Corporate Business,32251
33243,S.6 Financial Business,32251
33244,S.7 Federal Government,32251
33245,S.8 State and Local Governments,32251
33246,S.9 Rest of the World,32251
16,Exports,13
17,Imports,13
